"title","type","priceWithCurrency","lastUpdated","availableText","itemLocation"
"XIYUER Women's down jacket Short 90% duck down jacket 2024 high-end new models","Coat","US $229.00","Oct 16, 2024 09:26:58 PDT","10 available",""
"Reebok Men's Softshell Jacket","N/A","US $40.00","","5 available","Hurst, Texas, United States"
"Mens Fleece Jacket Soft Plush Zip Up Fall Winter Outdoor Casual work - Black","Jacket","US $14.99/ea","Oct 16, 2024 12:16:32 PDT","4 available","Alviso, California, United States"
"Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top","Jacket","US $35.83/ea","Oct 17, 2024 18:11:06 PDT","3 available30 sold",""
"Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top","Jacket","US $35.83","","Last one8 sold",""
"Warm Mens Casual Padded Hooded Jacket Winter Soft Comfort Coat Thick Jacket","Jacket","US $35.00","Oct 18, 2024 20:02:23 PDT","Last one39 sold",""
"Men Winter Warm Thick Fleece Jacket Men Coat Outwear Outdoor Jacket Men","Coat","US $32.64","Oct 17, 2024 18:54:55 PDT","10 available7 sold",""
"Men's Waterproof Winter Jacket Warm Winter Coat Outdoor Ski Snow Hooded Jacket","Jacket","US $32.75","Oct 13, 2024 13:30:10 PDT","6 available19 sold",""
"Men's Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket Top","Jacket","US $29.36/ea","Oct 16, 2024 23:31:18 PDT","2 available22 sold",""
"Parka Ski Men Thick Winter Puffer Jacket Hooded Quilted Duck Snow Coat Warm Down","Coat","US $6.64/ea","Oct 17, 2024 08:57:04 PDT","50 available40 sold",""
"Winter Men Warm Duck Down Jacket Ski Snow Thick Hooded Puffer Coat Parka Quilte,","Coat","US $11.42/ea","Oct 17, 2024 16:45:43 PDT","3 available14 sold",""
"Men's Winter Jacket Thick Thermal Cotton Warm Fleece Lined Coat Trucker Jackets","Coat","US $39.52","","Last one4 sold",""
"Vintage 80s 90s Drescente Winter Ski Bomber Jacket Men’s Size M - Perfect!","Jacket","US $149.99","","","Brooklyn, New York, United States"
"Tom Cruise Maverick Military Pilot G-1 Fur Collar Bomber Aviator Leather Jacket","Jacket","US $135.99/ea","Oct 06, 2024 12:13:53 PDT","2 available",""
"Billabong Ski 8K Winter Jacket Womens M Hooded Lined Black Multicolor Print","Jacket","US $50.00","","","Baytown, Texas, United States"
"Kjus quilted exceptional women's black white ski jacket sz 38","Jacket","US $590.00","Jan 17, 2024 06:28:15 PST","","New York, New York, United States"
"New Carhartt Mens Thermal Lined Duck Active Jacket Coat Winter J131, CT106678","Jacket","US $95.95","Oct 17, 2024 10:19:24 PDT","2 available50 sold","Madison, Wisconsin, United States"
"Mens Casual Padded Jacket Winter Warm Hooded Soft Comfort Coat Thick Jacket","Jacket","US $40.89","Sep 19, 2024 22:42:13 PDT","Last one18 sold",""
"Men's Fleece Lined Coat Winter Jacket Thick Thermal Cotton Warm Trucker Jackets","Coat","US $38.94","Oct 18, 2024 19:20:02 PDT","2 available11 sold",""
"Men's Winter Jacket Casual Waterproof Windbreaker Men's Coat","Jacket","US $25.99","Oct 18, 2024 17:46:35 PDT","5 available32 sold","Naperville, Illinois, United States"
"Men's Plaid Flannel Shirts Jacket Fully Quilted Lined Thermal Winter Warm Coat","Coat","US $9.95","Oct 18, 2024 20:03:48 PDT","5 available34 sold",""
"Mens Winter Thermal Duck Jacket Coat Sandstone Jacket Canvas Quilted Waterproof","Jacket","US $52.88","Oct 15, 2024 22:54:48 PDT","More than 10 available5,894 sold","New York, New York, United States"
"Heated Coat Unisex Winter Electric USB 11 Areas Heating Jacket","Jacket","US $29.99","Oct 18, 2024 05:35:55 PDT","5 available159 sold","Lexington, Kentucky, United States"
"Lacoste Bomber Jacket Mens Size XL Black Full Zip Lined Outdoor Classic","Jacket","GBP 44.99","Oct 18, 2024 06:34:37 PDT","","Chesterfield, United Kingdom"
"SNAP ON TOOLS 2024 RA HOODED JACKET INSULATED WINTER COAT ZIP UP BLACK NEW","Jacket","US $192.99/ea","Oct 15, 2024 21:46:31 PDT","3 available27 sold","Peoria, Illinois, United States"
"SNAP ON TOOLS HOODED JACKET INSULATED WINTER COAT ZIP UP 2022 GRAY NEW XL","Jacket","US $149.99","Oct 10, 2024 20:57:18 PDT","Last one11 sold","Peoria, Illinois, United States"
"Christian Dior Men's vintage Gray stripe 1 button PEAK lapel tuxedo jacket 38 R","Jacket","US $69.99","May 24, 2024 17:12:57 PDT","","Designer Clothing & More, USA., United States"
"Eleven 11 Distressed Leather Jacket with Stingray Size L","Jacket","US $899.55","","","Fort Worth, Texas, United States"
"Men Sandstone Canvas Quilted Thermal Lined Duck Coat Winter Duck Jacket Work","Coat","US $52.88","Oct 15, 2024 22:40:19 PDT","More than 10 available3,581 sold","New York, New York, United States"
"XIYUER Women's down jacket 90% white duck down Medium to long fashion jacket","Coat","US $269.00","Oct 15, 2024 09:33:36 PDT","10 available",""
"Kid’s leather Jacket Premium Leather Material Kid’s Jacket & Unique Plain Design","Jacket","US $99.95","Oct 09, 2024 01:10:28 PDT","3 available","White Marsh, Maryland, United States"
"Hoggs of Fife - Mens Waterproof Jacket Culloden Packable Mens coat","N/A","GBP 124.99","Oct 18, 2024 21:17:35 PDT","Last one18 sold","SWINDON, Wiltshire, United Kingdom"
"Men Sandstone Canvas Quilted Thermal Lined Active Industrial Winter Duck Jacket","Duck Jacket","US $56.88","Oct 15, 2024 22:46:12 PDT","More than 10 available2,769 sold","New York, New York, United States"
"Indicode Men's Jacket Size M Hooded","Jacket","GBP 3.00","","",""
"Indicode Men's Jacket Size S Denim Jacket Collared","Jacket","GBP 0.99","","",""
"Richmond Denim Men's Jacket Size 48 Bomber Jacket Made in Italy","Jacket","GBP 0.99","","",""
"fashion women jacket coat RONALD VAN DER KEMP ocelot leopard print jacket","Jacket","US $1,200.00","Aug 10, 2024 13:55:07 PDT","","Inver Grove Heights, Minnesota, United States"
